"id","account_type_id","account_number","account_name","account_description","bank_reconciliation","is_active","statement","report_group_id","sub_group_id","taxable","created_at","updated_at","deleted_at"
"1","1","110000","REPLENISHMENT","","yes","1","","138",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"2","1","110001","REVOLVING FUND","","yes","1","","143",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"3","2","110018","PETTY CASH FUND: EQUIPMENT MANAGEMENT SECTION","","yes","1","","121",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"4","2","110019","PETTY CASH FUND: MARKETING SECTION","","yes","1","","122",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"5","3","110002","CASH IN BANK","","yes","1","","24",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"6","3","110003","CASH IN BANK- MAYBANK","","yes","1","","36",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"7","3","110004","CASH IN BANK BDO","","yes","1","","25",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"8","3","110005","CASH IN BANK ME3/EP JV ACCOUNT","","yes","1","","37",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"9","3","110006","CASH IN BANK- BDO CHECK ACCOUNT","","yes","1","","27",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"10","3","110007","CASH IN VAULT","","yes","1","","40",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"11","3","110008","CASH IN BANK- LANDBANK","","yes","1","","29",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"12","3","110009","CASH IN BANK- METROBANK","","yes","1","","38",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"13","3","110010","CASH IN BANK- DBP","","yes","1","","28",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"14","3","110011","CASH IN BANK- LANDBANK-ME3-ECDCJV","","yes","1","","33",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"15","3","110012","CASH IN BANK- LANDBANK-ECDC","","yes","1","","30",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"16","3","110013","CASH IN BANK- LANDBANK-REYROSE-ECDCJV","","yes","1","","34",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"17","3","110014","CASH IN BANK- LANDBANK-UKC-ECDCJV","","yes","1","","35",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"18","3","110015","CASH IN BANK- LANDBANK-EPCC-ECDCJV","","yes","1","","31",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"19","3","110016","CASH IN BANK- METROBANK - DOLLAR ACCOUNT","","yes","1","","39",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"20","4","120001","ACCOUNTS RECEIVABLE- NON TRADE","","yes","1","","3",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"21","5","120002","CASH ADVANCE FOR OPERATING EXPENSE","","yes","1","","22",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"22","4","120003","OTHER RECEIVABLES","","yes","1","","113",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"23","5","120004","ADVANCES TO OFFICERS AND EMPLOYEES","","yes","1","","11",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"24","5","120005","CASH ADVANCES FOR PAYROLL","","yes","1","","23",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"25","5","120006","INPUT VAT","","yes","1","","85",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"26","6","120007","ACCOUNTS RECEIVABLE","","yes","1","","2",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"27","7","130000","INVENTORIES","","yes","1","","89",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"28","7","130001","CONSTRUCTION MATERIALS INVENTORY","","yes","1","","62",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"29","7","130002","CONSTRUCTION SPARE PARTS INVENTORY","","yes","1","","63",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"30","7","130003","FUEL, OIL AND LUBRICANTS INVENTORY","","yes","1","","81",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"31","7","130004","OFFICE SUPPLIES INVENTORY","","yes","1","","105",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"32","7","130005","PANTRY AND HOUSEKEEPING SUPPLIES INVENTORY","","yes","1","","117",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"33","7","130006","OTHER INVENTORY","","yes","1","","111",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"34","4","150000","LOAN ACCOMMODATION","","yes","1","","93",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"35","5","150002","PREPAID RENT","","yes","1","","127",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"36","5","150003","PREPAID MEMBERSHIP DUES","","yes","1","","126",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"37","5","150004","OTHER PREPAID EXPENSES","","yes","1","","112",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
"38","8","150005","VEHICLES","","yes","1","","160",,"0","29/8/2025 10:28:30","29/8/2025 10:28:30",
